User_ID,Doc_ID,Inter-Stroke time,Stroke Duration,Start X,Start Y,Stop X,Sop Y,Direct end-to-end Distance,Mean resulant length,WSAD Flag,Direction of end-to-end Time,Phone_ID,20 per pairwise velocity,50 per pairwise velocity,80 per pairwise velocity,20 per pairwise acc,50 per pairwise acc,80 per pairwise acc,Median velocity at last 3pts,Largest deviation from end-to-end line,20 per dev line,50 per dev line,80 per dev line,Average Direction,Length of Trajectory,Ratio dist and length of trajectory,Average velocity,Median acceleration at first 5 pts,Mid-Stroke pressure,Mid-Stroke area covered,Mid-Stroke finger orientation,Change of finger orientation,Phone orientation
6,1,2.255,1.197,8.769,-38.906,8.1643,-30.137,8.7899,0.50674,3,1.6397,1,0,7.7633,13.512,-602.14,0,512.79,8.3068,1.1789,0.62413,0.81137,0.97261,1.2081,11.39,0.77175,9.5151,155.17,0.605,0.044444,0,0,1
25,1,0.838,0.519,18.75,-54.397,27.471,-47.53,11.101,0.90092,2,0.66707,2,7.4714,21.674,36.641,-679.88,44.551,932.36,14.958,-1.198,-1.0315,-0.49031,-0.12686,0.59565,11.894,0.93331,22.917,181.28,0.57,0.23333,0,0,1
36,1,2.298,1.761,10.683,-44.041,5.8867,-35.756,9.5733,0.55955,3,2.0956,4,1.9622,6.8133,12.184,-344.57,0,402.03,3.4066,0.93846,0.085901,0.60826,0.74481,1.8154,11.436,0.83715,6.4938,35.439,0.27843,0.13333,0,0,1
29,1,2.311,1.355,27.617,-28.625,26.811,-21.167,7.5022,0.31573,3,1.6785,5,2.0715,14.399,71.919,-2026.9,10.391,976.46,77.272,-5.1892,-5.1242,-4.8182,-3.0133,-1.1147,44.938,0.16695,33.165,-2905.5,0.11373,0.1,0,0,1
32,5,1.34,0.048,31.649,-45.962,3.6286,-46.264,28.022,0.59423,4,-3.1308,3,58.999,302.38,1954,-101100,-8743.5,645450,583.83,1.5234,0,0.0048944,0.93109,-3.0238,28.232,0.99258,588.17,-8743.5,0.51,0.044444,0,0,1
22,5,3.088,0.2,3.8155,-44.041,27.362,-39.354,24.009,0.93465,2,0.19651,2,26.382,157.57,215.85,-23883,79.378,203900,82.221,-2.1046,-2.0478,-0.77018,0,0.25685,24.799,0.96814,124,275.89,0.46,0.15556,0,0,1
15,5,1.489,0.11,21.694,-34.121,8.503,-49.165,20.008,0.72862,1,-2.2907,4,89.807,231.43,375.22,-6017.7,-4276.5,-672.31,145.96,1.2313,-1.7764E-15,0.61772,0.78332,-2.0905,20.196,0.99066,183.6,-4276.5,0.3098,0.16667,0,0,1
35,5,1.235,0.117,27.013,-34.169,19.05,-35.782,8.1244,0.64326,4,-2.9418,3,18.093,80.808,332.25,-20115,-274.16,202900,80.808,-1.2317,-1.0933,-0.097537,0,-2.787,8.5719,0.9478,73.264,-274.16,0.455,0.044444,0,0,1
2,5,3.31,0.064,14.39,-36.519,29.106,-37.282,14.737,0.99796,2,-0.051805,2,84.068,296.62,3836.4,-254210,-9039.6,4529500,296.62,-0.28467,-0.14233,0,0.10483,-0.041793,14.772,0.99757,230.82,-9039.6,0.37,0.077778,0,0,1
3,5,0.226,0.049,17.437,-34.068,7.1563,-36.387,10.539,0.50973,4,-2.9198,3,25.705,183.05,392.72,-43007,-9436.7,31021,183.05,-0.10507,-0.052536,0,0.030847,-2.7861,10.547,0.99928,215.24,-9436.7,0.59,0.044444,0,0,1
10,5,1.057,0.157,20.763,-20.461,7.1563,-29.029,16.08,0.42362,4,-2.5797,3,0,0,7236.4,-4020000,239.63,4020500,0,-8.8818E-16,-8.8818E-16,-4.4409E-16,0,-0.43263,16.08,1,102.42,239.63,0.78,0.044444,0,0,1
